onset	duration	trial_type	value	sample	stim_file
334.8486328125		blank_white_screen	705	685770	
335.0458984375		tool_visual_imagery_task	602	686174	
338.048828125		blank_white_screen	705	692324	
352.14892578125		blank_white_screen	705	721201	
352.34619140625		animal_visual_imagery_task	602	721605	
355.3486328125		blank_white_screen	705	727754	
369.53173828125		blank_white_screen	705	756801	
369.7265625		animal_visual_imagery_task	602	757200	
372.732421875		blank_white_screen	705	763356	
387.76513671875		blank_white_screen	705	794143	
387.9501953125		animal_visual_imagery_task	602	794522	
390.96533203125		blank_white_screen	705	800697	
405.3984375		blank_white_screen	705	830256	
405.5947265625		animal_visual_imagery_task	602	830658	
408.5986328125		blank_white_screen	705	836810	
423.365234375		blank_white_screen	705	867052	
423.55419921875		tool_visual_imagery_task	602	867439	
426.56494140625		blank_white_screen	705	873605	
441.26513671875		blank_white_screen	705	903711	
441.4482421875		animal_visual_imagery_task	602	904086	
444.4482421875		blank_white_screen	705	910230	
458.86474609375		blank_white_screen	705	939755	
459.0654296875		animal_visual_imagery_task	602	940166	
462.06494140625		blank_white_screen	705	946309	
476.31494140625		blank_white_screen	705	975493	
476.5087890625		animal_visual_imagery_task	602	975890	
479.5146484375		blank_white_screen	705	982046	
494.5478515625		blank_white_screen	705	1012834	
494.732421875		animal_visual_imagery_task	602	1013212	
497.748046875		blank_white_screen	705	1019388	
512.63134765625		blank_white_screen	705	1049869	
512.81298828125		animal_visual_imagery_task	602	1050241	
515.814453125		blank_white_screen	705	1056388	
530.64794921875		blank_white_screen	705	1086767	
530.83447265625		tool_visual_imagery_task	602	1087149	
533.84765625		blank_white_screen	705	1093320	
583.58056640625		blank_white_screen	705	1195173	
583.77294921875		tool_visual_imagery_task	602	1195567	tools/vacuum_cleaner_PNG56.png
586.78076171875		blank_white_screen	705	1201727	
601.6474609375		blank_white_screen	705	1232174	
601.83984375		tool_visual_imagery_task	602	1232568	tools/broom_PNG58.png
604.84716796875		blank_white_screen	705	1238727	
619.36376953125		blank_white_screen	705	1268457	
619.5498046875		animal_visual_imagery_task	602	1268838	animals/elephants_PNG18808.png
622.56396484375		blank_white_screen	705	1275011	
637.2470703125		blank_white_screen	705	1305082	
637.443359375		tool_visual_imagery_task	602	1305484	tools/hand_saw_PNG9540.png
640.44677734375		blank_white_screen	705	1311635	
655.33056640625		blank_white_screen	705	1342117	
655.52734375		animal_visual_imagery_task	602	1342520	animals/bear_PNG23456.png
658.5302734375		blank_white_screen	705	1348670	
673.46337890625		blank_white_screen	705	1379253	
673.6572265625		animal_visual_imagery_task	602	1379650	animals/dog_PNG50396.png
676.66357421875		blank_white_screen	705	1385807	
691.0302734375		blank_white_screen	705	1415230	
691.2109375		animal_visual_imagery_task	602	1415600	animals/crow_PNG3114.png
694.21337890625		blank_white_screen	705	1421749	
709.14697265625		blank_white_screen	705	1452333	
709.33740234375		animal_visual_imagery_task	602	1452723	animals/crab_PNG37.png
712.3466796875		blank_white_screen	705	1458886	
726.4462890625		blank_white_screen	705	1487762	
726.64208984375		animal_visual_imagery_task	602	1488163	animals/frog_PNG35767.png
729.646484375		blank_white_screen	705	1494316	
744.26318359375		blank_white_screen	705	1524251	
744.4580078125		animal_visual_imagery_task	602	1524650	animals/tiger_PNG23242.png
747.462890625		blank_white_screen	705	1530804	
762.26318359375		blank_white_screen	705	1561115	
762.44775390625		tool_visual_imagery_task	602	1561493	tools/corkscrew_PNG43.png
765.462890625		blank_white_screen	705	1567668	
780.06298828125		blank_white_screen	705	1597569	
780.24951171875		animal_visual_imagery_task	602	1597951	animals/lion_PNG562.png
783.2626953125		blank_white_screen	705	1604122	
841.14599609375		blank_white_screen	705	1722667	
841.33740234375		animal_visual_imagery_task	602	1723059	
844.345703125		blank_white_screen	705	1729220	
858.44580078125		blank_white_screen	705	1758097	
858.640625		tool_visual_imagery_task	602	1758496	
861.64599609375		blank_white_screen	705	1764651	
875.9287109375		blank_white_screen	705	1793902	
876.1162109375		tool_visual_imagery_task	602	1794286	
879.12890625		blank_white_screen	705	1800456	
893.2958984375		blank_white_screen	705	1829470	
893.4794921875		animal_visual_imagery_task	602	1829846	
896.49560546875		blank_white_screen	705	1836023	
910.9287109375		blank_white_screen	705	1865582	
911.12548828125		tool_visual_imagery_task	602	1865985	
914.12890625		blank_white_screen	705	1872136	
928.412109375		blank_white_screen	705	1901388	
928.599609375		tool_visual_imagery_task	602	1901772	
931.6123046875		blank_white_screen	705	1907942	
945.9619140625		blank_white_screen	705	1937330	
946.1533203125		animal_visual_imagery_task	602	1937722	
949.162109375		blank_white_screen	705	1943884	
963.728515625		blank_white_screen	705	1973716	
963.92041015625		animal_visual_imagery_task	602	1974109	
966.9287109375		blank_white_screen	705	1980270	
981.09521484375		blank_white_screen	705	2009283	
981.287109375		tool_visual_imagery_task	602	2009676	
984.294921875		blank_white_screen	705	2015836	
999.22802734375		blank_white_screen	705	2046419	
999.41796875		tool_visual_imagery_task	602	2046808	
1002.42822265625		blank_white_screen	705	2052973	
1017.3447265625		blank_white_screen	705	2083522	
1017.53076171875		animal_visual_imagery_task	602	2083903	
1020.544921875		blank_white_screen	705	2090076	
1034.74462890625		blank_white_screen	705	2119157	
1034.94384765625		animal_visual_imagery_task	602	2119565	
1037.9443359375		blank_white_screen	705	2125710	
1100.54443359375		blank_white_screen	705	2253915	
1100.72998046875		tool_visual_imagery_task	602	2254295	
1118.744140625		blank_white_screen	705	2291188	
1118.93994140625		animal_visual_imagery_task	602	2291589	
1136.494140625		blank_white_screen	705	2327540	
1136.67919921875		tool_visual_imagery_task	602	2327919	
1153.810546875		blank_white_screen	705	2363004	
1153.99609375		tool_visual_imagery_task	602	2363384	
1171.22705078125		blank_white_screen	705	2398673	
1171.423828125		tool_visual_imagery_task	602	2399076	
1188.8271484375		blank_white_screen	705	2434718	
1189.02294921875		tool_visual_imagery_task	602	2435119	
1206.1767578125		blank_white_screen	705	2470250	
1206.3720703125		animal_visual_imagery_task	602	2470650	
1224.31005859375		blank_white_screen	705	2507387	
1224.50244140625		animal_visual_imagery_task	602	2507781	
1241.6767578125		blank_white_screen	705	2542954	
1241.8544921875		tool_visual_imagery_task	602	2543318	
1259.56005859375		blank_white_screen	705	2579579	
1259.748046875		tool_visual_imagery_task	602	2579964	
1277.34326171875		blank_white_screen	705	2615999	
1277.52001953125		animal_visual_imagery_task	602	2616361	
1294.67626953125		blank_white_screen	705	2651497	
1294.869140625		animal_visual_imagery_task	602	2651892	
1347.8427734375		blank_white_screen	705	2760382	
1348.333984375		tool_visual_imagery_task	602	2761388	tools/keyboard_PNG5858.png
1351.3427734375		blank_white_screen	705	2767550	
1365.609375		blank_white_screen	705	2796768	
1366.1064453125		tool_visual_imagery_task	602	2797786	tools/pen_PNG7418.png
1369.109375		blank_white_screen	705	2803936	
1383.3759765625		blank_white_screen	705	2833154	
1383.86279296875		animal_visual_imagery_task	602	2834151	animals/crab_PNG37.png
1386.8759765625		blank_white_screen	705	2840322	
1400.75927734375		blank_white_screen	705	2868755	
1401.244140625		tool_visual_imagery_task	602	2869748	tools/hammer_PNG1133.png
1404.25927734375		blank_white_screen	705	2875923	
1418.958984375		blank_white_screen	705	2906028	
1419.44921875		animal_visual_imagery_task	602	2907032	animals/elephants_PNG18808.png
1422.458984375		blank_white_screen	705	2913196	
1436.32568359375		blank_white_screen	705	2941595	
1436.8173828125		animal_visual_imagery_task	602	2942602	animals/duck_PNG5028.png
1439.8251953125		blank_white_screen	705	2948762	
1454.15869140625		blank_white_screen	705	2978117	
1454.650390625		tool_visual_imagery_task	602	2979124	tools/broom_PNG58.png
1457.65869140625		blank_white_screen	705	2985285	
1472.05859375		blank_white_screen	705	3014776	
1472.54443359375		tool_visual_imagery_task	602	3015771	tools/bottle_opener_PNG24.png
1475.55859375		blank_white_screen	705	3021944	
1490.30859375		blank_white_screen	705	3052152	
1490.79931640625		animal_visual_imagery_task	602	3053157	animals/bear_PNG23456.png
1493.80859375		blank_white_screen	705	3059320	
1508.4921875		blank_white_screen	705	3089392	
1508.9736328125		tool_visual_imagery_task	602	3090378	tools/toothbrash_PNG10557.png
1511.97509765625		blank_white_screen	705	3096525	
1526.125		blank_white_screen	705	3125504	
1526.60595703125		animal_visual_imagery_task	602	3126489	animals/crow_PNG3114.png
1529.6083984375		blank_white_screen	705	3132638	
1543.9580078125		blank_white_screen	705	3162026	
1544.45556640625		tool_visual_imagery_task	602	3163045	tools/chain_saw_PNG18513.png
1547.4580078125		blank_white_screen	705	3169194	
1625.99072265625		blank_white_screen	705	3330029	
1626.18798828125		tool_visual_imagery_task	602	3330433	tools/hammer_PNG1133.png
1629.19091796875		blank_white_screen	705	3336583	
1643.89111328125		blank_white_screen	705	3366689	
1644.08154296875		tool_visual_imagery_task	602	3367079	tools/microwave_PNG15726.png
1647.09130859375		blank_white_screen	705	3373243	
1661.9912109375		blank_white_screen	705	3403758	
1662.1826171875		animal_visual_imagery_task	602	3404150	animals/pig_PNG2215.png
1665.19091796875		blank_white_screen	705	3410311	
1679.95751953125		blank_white_screen	705	3440553	
1680.1416015625		animal_visual_imagery_task	602	3440930	animals/crab_PNG37.png
1683.1572265625		blank_white_screen	705	3447106	
1697.423828125		blank_white_screen	705	3476324	
1697.6142578125		tool_visual_imagery_task	602	3476714	tools/computer_mouse_PNG7688.png
1700.6240234375		blank_white_screen	705	3482878	
1715.4404296875		blank_white_screen	705	3513222	
1715.6357421875		animal_visual_imagery_task	602	3513622	animals/elephants_PNG18808.png
1718.64013671875		blank_white_screen	705	3519775	
1733.5234375		blank_white_screen	705	3550256	
1733.716796875		animal_visual_imagery_task	602	3550652	animals/frog_PNG35767.png
1736.7236328125		blank_white_screen	705	3556810	
1751.34033203125		blank_white_screen	705	3586745	
1751.53564453125		animal_visual_imagery_task	602	3587145	animals/tiger_PNG23242.png
1754.5400390625		blank_white_screen	705	3593298	
1769.17333984375		blank_white_screen	705	3623267	
1769.36865234375		tool_visual_imagery_task	602	3623667	tools/hammer_PNG1133.png
1772.37353515625		blank_white_screen	705	3629821	
1787.45654296875		blank_white_screen	705	3660711	
1787.65478515625		animal_visual_imagery_task	602	3661117	animals/tiger_PNG23242.png
1790.65673828125		blank_white_screen	705	3667265	
1805.2900390625		blank_white_screen	705	3697234	
1805.48779296875		animal_visual_imagery_task	602	3697639	animals/bear_PNG23456.png
1808.48974609375		blank_white_screen	705	3703787	
1822.65625		blank_white_screen	705	3732800	
1822.83984375		animal_visual_imagery_task	602	3733176	animals/duck_PNG5028.png
1825.83935546875		blank_white_screen	705	3739319	
1885.72265625		blank_white_screen	705	3861960	
1885.90625		tool_visual_imagery_task	602	3862336	
1903.33935546875		blank_white_screen	705	3898039	
1903.53955078125		tool_visual_imagery_task	602	3898449	
1921.35595703125		blank_white_screen	705	3934937	
1921.54541015625		tool_visual_imagery_task	602	3935325	
1939.40576171875		blank_white_screen	705	3971903	
1939.59619140625		tool_visual_imagery_task	602	3972293	
1957.5224609375		blank_white_screen	705	4009006	
1957.708984375		tool_visual_imagery_task	602	4009388	
1974.88916015625		blank_white_screen	705	4044573	
1975.06201171875		tool_visual_imagery_task	602	4044927	
1992.28857421875		blank_white_screen	705	4080207	
1992.48828125		animal_visual_imagery_task	602	4080616	
2009.77197265625		blank_white_screen	705	4116013	
