onset	duration	trial_type	value	sample	stim_file
314.95361328125		blank_white_screen	705	645025	
315.1513671875		tool_visual_imagery_task	602	645430	
318.1533203125		blank_white_screen	705	651578	
332.25341796875		blank_white_screen	705	680455	
332.45361328125		animal_visual_imagery_task	602	680865	
335.47021484375		blank_white_screen	705	687043	
349.63671875		blank_white_screen	705	716056	
349.83349609375		animal_visual_imagery_task	602	716459	
352.83642578125		blank_white_screen	705	722609	
367.86962890625		blank_white_screen	705	753397	
368.046875		animal_visual_imagery_task	602	753760	
371.05322265625		blank_white_screen	705	759917	
385.5029296875		blank_white_screen	705	789510	
385.69091796875		animal_visual_imagery_task	602	789895	
388.703125		blank_white_screen	705	796064	
403.4697265625		blank_white_screen	705	826306	
403.6611328125		tool_visual_imagery_task	602	826698	
406.66943359375		blank_white_screen	705	832859	
421.35302734375		blank_white_screen	705	862931	
421.54541015625		animal_visual_imagery_task	602	863325	
424.552734375		blank_white_screen	705	869484	
438.986328125		blank_white_screen	705	899044	
439.15966796875		animal_visual_imagery_task	602	899399	
442.16943359375		blank_white_screen	705	905563	
456.41943359375		blank_white_screen	705	934747	
456.615234375		animal_visual_imagery_task	602	935148	
459.61962890625		blank_white_screen	705	941301	
474.65234375		blank_white_screen	705	972088	
474.83984375		animal_visual_imagery_task	602	972472	
477.8525390625		blank_white_screen	705	978642	
492.71923828125		blank_white_screen	705	1009089	
492.90869140625		animal_visual_imagery_task	602	1009477	
495.9189453125		blank_white_screen	705	1015642	
510.75244140625		blank_white_screen	705	1046021	
510.94140625		tool_visual_imagery_task	602	1046408	
513.95263671875		blank_white_screen	705	1052575	
567.88525390625		blank_white_screen	705	1163029	
568.08203125		tool_visual_imagery_task	602	1163432	tools/vacuum_cleaner_PNG56.png
571.08544921875		blank_white_screen	705	1169583	
585.95166015625		blank_white_screen	705	1200029	
586.14990234375		tool_visual_imagery_task	602	1200435	tools/broom_PNG58.png
589.15185546875		blank_white_screen	705	1206583	
603.66845703125		blank_white_screen	705	1236313	
603.85888671875		animal_visual_imagery_task	602	1236703	animals/elephants_PNG18808.png
606.86865234375		blank_white_screen	705	1242867	
621.568359375		blank_white_screen	705	1272972	
