onset	duration	trial_type	value	sample	stim_file
312.92138671875		blank_white_screen	705	640863	
313.11181640625		tool_visual_imagery_task	602	641253	
316.12158203125		blank_white_screen	705	647417	
330.2216796875		blank_white_screen	705	676294	
330.4140625		animal_visual_imagery_task	602	676688	
333.42138671875		blank_white_screen	705	682847	
347.6044921875		blank_white_screen	705	711894	
347.79443359375		animal_visual_imagery_task	602	712283	
350.8046875		blank_white_screen	705	718448	
365.8212890625		blank_white_screen	705	749202	
366.01806640625		animal_visual_imagery_task	602	749605	
369.02099609375		blank_white_screen	705	755755	
383.47119140625		blank_white_screen	705	785349	
383.66259765625		animal_visual_imagery_task	602	785741	
386.6708984375		blank_white_screen	705	791902	
401.43798828125		blank_white_screen	705	822145	
401.6220703125		tool_visual_imagery_task	602	822522	
404.6376953125		blank_white_screen	705	828698	
419.32080078125		blank_white_screen	705	858769	
419.51611328125		animal_visual_imagery_task	602	859169	
422.52099609375		blank_white_screen	705	865323	
436.9375		blank_white_screen	705	894848	
437.13134765625		animal_visual_imagery_task	602	895245	
440.1376953125		blank_white_screen	705	901402	
454.3876953125		blank_white_screen	705	930586	
454.57568359375		animal_visual_imagery_task	602	930971	
457.58740234375		blank_white_screen	705	937139	
472.62060546875		blank_white_screen	705	967927	
472.8017578125		animal_visual_imagery_task	602	968298	
475.8037109375		blank_white_screen	705	974446	
490.68701171875		blank_white_screen	705	1004927	
490.88037109375		animal_visual_imagery_task	602	1005323	
493.88720703125		blank_white_screen	705	1011481	
508.70361328125		blank_white_screen	705	1041825	
508.90234375		tool_visual_imagery_task	602	1042232	
511.90380859375		blank_white_screen	705	1048379	
562.287109375		blank_white_screen	705	1151564	
562.47998046875		tool_visual_imagery_task	602	1151959	tools/vacuum_cleaner_PNG56.png
565.48681640625		blank_white_screen	705	1158117	
580.35302734375		blank_white_screen	705	1188563	
580.54736328125		tool_visual_imagery_task	602	1188961	tools/broom_PNG58.png
583.55322265625		blank_white_screen	705	1195117	
598.06982421875		blank_white_screen	705	1224847	
598.2568359375		animal_visual_imagery_task	602	1225230	animals/elephants_PNG18808.png
601.27001953125		blank_white_screen	705	1231401	
615.953125		blank_white_screen	705	1261472	
616.150390625		tool_visual_imagery_task	602	1261876	tools/hand_saw_PNG9540.png
619.1533203125		blank_white_screen	705	1268026	
634.0361328125		blank_white_screen	705	1298506	
634.234375		animal_visual_imagery_task	602	1298912	animals/bear_PNG23456.png
637.236328125		blank_white_screen	705	1305060	
652.16943359375		blank_white_screen	705	1335643	
652.36376953125		animal_visual_imagery_task	602	1336041	animals/dog_PNG50396.png
655.36962890625		blank_white_screen	705	1342197	
669.71923828125		blank_white_screen	705	1371585	
669.91796875		animal_visual_imagery_task	602	1371992	animals/crow_PNG3114.png
672.91943359375		blank_white_screen	705	1378139	
687.85302734375		blank_white_screen	705	1408723	
688.0439453125		animal_visual_imagery_task	602	1409114	animals/crab_PNG37.png
691.052734375		blank_white_screen	705	1415276	
705.15234375		blank_white_screen	705	1444152	
705.3486328125		animal_visual_imagery_task	602	1444554	animals/frog_PNG35767.png
708.3525390625		blank_white_screen	705	1450706	
722.96923828125		blank_white_screen	705	1480641	
723.16552734375		animal_visual_imagery_task	602	1481043	animals/tiger_PNG23242.png
726.1689453125		blank_white_screen	705	1487194	
740.96923828125		blank_white_screen	705	1517505	
741.15478515625		tool_visual_imagery_task	602	1517885	tools/corkscrew_PNG43.png
744.1689453125		blank_white_screen	705	1524058	
758.76904296875		blank_white_screen	705	1553959	
758.9560546875		animal_visual_imagery_task	602	1554342	animals/lion_PNG562.png
761.96923828125		blank_white_screen	705	1560513	
831.66845703125		blank_white_screen	705	1703257	
831.85546875		animal_visual_imagery_task	602	1703640	
