onset	duration	trial_type	value	sample	stim_file
354.41796875		blank_white_screen	705	725848	
354.60595703125		tool_visual_imagery_task	602	726233	
357.6181640625		blank_white_screen	705	732402	
371.7177734375		blank_white_screen	705	761278	
371.908203125		animal_visual_imagery_task	602	761668	
374.91796875		blank_white_screen	705	767832	
389.10107421875		blank_white_screen	705	796879	
389.2880859375		animal_visual_imagery_task	602	797262	
392.30126953125		blank_white_screen	705	803433	
407.31787109375		blank_white_screen	705	834187	
407.5107421875		animal_visual_imagery_task	602	834582	
410.517578125		blank_white_screen	705	840740	
424.9677734375		blank_white_screen	705	870334	
425.15673828125		animal_visual_imagery_task	602	870721	
428.16748046875		blank_white_screen	705	876887	
442.91748046875		blank_white_screen	705	907095	
443.11572265625		tool_visual_imagery_task	602	907501	
446.11767578125		blank_white_screen	705	913649	
460.8173828125		blank_white_screen	705	943754	
461.009765625		animal_visual_imagery_task	602	944148	
464.017578125		blank_white_screen	705	950308	
478.43408203125		blank_white_screen	705	979833	
478.62548828125		animal_visual_imagery_task	602	980225	
481.6337890625		blank_white_screen	705	986386	
495.8837890625		blank_white_screen	705	1015570	
496.06884765625		animal_visual_imagery_task	602	1015949	
499.083984375		blank_white_screen	705	1022124	
514.1171875		blank_white_screen	705	1052912	
514.30517578125		animal_visual_imagery_task	602	1053297	
517.31689453125		blank_white_screen	705	1059465	
532.18359375		blank_white_screen	705	1089912	
532.3740234375		animal_visual_imagery_task	602	1090302	
535.3837890625		blank_white_screen	705	1096466	
550.2001953125		blank_white_screen	705	1126810	
550.39599609375		tool_visual_imagery_task	602	1127211	
553.400390625		blank_white_screen	705	1133364	
604.78369140625		blank_white_screen	705	1238597	
604.95849609375		tool_visual_imagery_task	602	1238955	tools/vacuum_cleaner_PNG56.png
607.96630859375		blank_white_screen	705	1245115	
622.85009765625		blank_white_screen	705	1275597	
623.0263671875		tool_visual_imagery_task	602	1275958	tools/broom_PNG58.png
626.033203125		blank_white_screen	705	1282116	
640.5498046875		blank_white_screen	705	1311846	
640.7451171875		animal_visual_imagery_task	602	1312246	animals/elephants_PNG18808.png
643.75		blank_white_screen	705	1318400	
658.43310546875		blank_white_screen	705	1348471	
658.6279296875		tool_visual_imagery_task	602	1348870	tools/hand_saw_PNG9540.png
661.6328125		blank_white_screen	705	1355024	
676.53271484375		blank_white_screen	705	1385539	
676.712890625		animal_visual_imagery_task	602	1385908	animals/bear_PNG23456.png
679.7158203125		blank_white_screen	705	1392058	
694.64990234375		blank_white_screen	705	1422643	
694.84228515625		animal_visual_imagery_task	602	1423037	animals/dog_PNG50396.png
697.849609375		blank_white_screen	705	1429196	
712.2158203125		blank_white_screen	705	1458618	
712.40673828125		animal_visual_imagery_task	602	1459009	animals/crow_PNG3114.png
715.416015625		blank_white_screen	705	1465172	
730.33251953125		blank_white_screen	705	1495721	
730.5234375		animal_visual_imagery_task	602	1496112	animals/crab_PNG37.png
733.5322265625		blank_white_screen	705	1502274	
747.6494140625		blank_white_screen	705	1531186	
747.826171875		animal_visual_imagery_task	602	1531548	animals/frog_PNG35767.png
750.83251953125		blank_white_screen	705	1537705	
765.44921875		blank_white_screen	705	1567640	
765.6435546875		animal_visual_imagery_task	602	1568038	animals/tiger_PNG23242.png
768.64892578125		blank_white_screen	705	1574193	
783.44921875		blank_white_screen	705	1604504	
783.6328125		tool_visual_imagery_task	602	1604880	tools/corkscrew_PNG43.png
786.64892578125		blank_white_screen	705	1611057	
801.2490234375		blank_white_screen	705	1640958	
801.43408203125		animal_visual_imagery_task	602	1641337	animals/lion_PNG562.png
804.44873046875		blank_white_screen	705	1647511	
863.1318359375		blank_white_screen	705	1767694	
863.32080078125		animal_visual_imagery_task	602	1768081	
866.33154296875		blank_white_screen	705	1774247	
880.44873046875		blank_white_screen	705	1803159	
880.625		tool_visual_imagery_task	602	1803520	
883.6318359375		blank_white_screen	705	1809678	
897.9150390625		blank_white_screen	705	1838930	
898.10986328125		tool_visual_imagery_task	602	1839329	
901.11474609375		blank_white_screen	705	1845483	
915.28125		blank_white_screen	705	1874496	
915.47412109375		animal_visual_imagery_task	602	1874891	
918.4814453125		blank_white_screen	705	1881050	
932.93115234375		blank_white_screen	705	1910643	
933.1201171875		tool_visual_imagery_task	602	1911030	
936.13134765625		blank_white_screen	705	1917197	
950.39794921875		blank_white_screen	705	1946415	
950.59423828125		tool_visual_imagery_task	602	1946817	
953.59765625		blank_white_screen	705	1952968	
967.94775390625		blank_white_screen	705	1982357	
968.146484375		animal_visual_imagery_task	602	1982764	
971.14794921875		blank_white_screen	705	1988911	
985.71435546875		blank_white_screen	705	2018743	
985.90380859375		animal_visual_imagery_task	602	2019131	
988.9140625		blank_white_screen	705	2025296	
1003.09765625		blank_white_screen	705	2054344	
1003.27001953125		tool_visual_imagery_task	602	2054697	
1006.28076171875		blank_white_screen	705	2060863	
1021.21435546875		blank_white_screen	705	2091447	
1021.41259765625		tool_visual_imagery_task	602	2091853	
1024.4140625		blank_white_screen	705	2098000	
1039.33056640625		blank_white_screen	705	2128549	
1039.525390625		animal_visual_imagery_task	602	2128948	
1042.53076171875		blank_white_screen	705	2135103	
1056.74755859375		blank_white_screen	705	2164219	
1056.9375		animal_visual_imagery_task	602	2164608	
1059.947265625		blank_white_screen	705	2170772	
1158.68017578125		blank_white_screen	705	2372977	
1158.86328125		tool_visual_imagery_task	602	2373352	
1176.896484375		blank_white_screen	705	2410284	
1177.07275390625		animal_visual_imagery_task	602	2410645	
1194.6298828125		blank_white_screen	705	2446602	
1194.81201171875		tool_visual_imagery_task	602	2446975	
1211.9462890625		blank_white_screen	705	2482066	
1212.130859375		tool_visual_imagery_task	602	2482444	
1229.37939453125		blank_white_screen	705	2517769	
1229.55810546875		tool_visual_imagery_task	602	2518135	
1246.962890625		blank_white_screen	705	2553780	
1247.15625		tool_visual_imagery_task	602	2554176	
1264.3125		blank_white_screen	705	2589312	
1264.5048828125		animal_visual_imagery_task	602	2589706	
1282.462890625		blank_white_screen	705	2626484	
1282.63720703125		animal_visual_imagery_task	602	2626841	
1299.8125		blank_white_screen	705	2662016	
1299.998046875		tool_visual_imagery_task	602	2662396	
1317.69580078125		blank_white_screen	705	2698641	
1317.8916015625		tool_visual_imagery_task	602	2699042	
1335.47900390625		blank_white_screen	705	2735061	
1335.6640625		animal_visual_imagery_task	602	2735440	
1352.8291015625		blank_white_screen	705	2770594	
1353.0126953125		animal_visual_imagery_task	602	2770970	
1403.76171875		blank_white_screen	705	2874904	
1404.2470703125		tool_visual_imagery_task	602	2875898	tools/keyboard_PNG5858.png
1407.26171875		blank_white_screen	705	2882072	
1421.5283203125		blank_white_screen	705	2911290	
1422.0185546875		tool_visual_imagery_task	602	2912294	tools/pen_PNG7418.png
1425.0283203125		blank_white_screen	705	2918458	
1439.2783203125		blank_white_screen	705	2947642	
1439.775390625		animal_visual_imagery_task	602	2948660	animals/crab_PNG37.png
1442.7783203125		blank_white_screen	705	2954810	
1456.66162109375		blank_white_screen	705	2983243	
1457.15673828125		tool_visual_imagery_task	602	2984257	tools/hammer_PNG1133.png
1460.16162109375		blank_white_screen	705	2990411	
1474.8779296875		blank_white_screen	705	3020550	
1475.36181640625		animal_visual_imagery_task	602	3021541	animals/elephants_PNG18808.png
1478.37841796875		blank_white_screen	705	3027719	
1492.2451171875		blank_white_screen	705	3056118	
1492.73095703125		animal_visual_imagery_task	602	3057113	animals/duck_PNG5028.png
1495.7451171875		blank_white_screen	705	3063286	
1510.07763671875		blank_white_screen	705	3092639	
1510.56396484375		tool_visual_imagery_task	602	3093635	tools/broom_PNG58.png
1513.578125		blank_white_screen	705	3099808	
1527.9609375		blank_white_screen	705	3129264	
1528.45849609375		tool_visual_imagery_task	602	3130283	tools/bottle_opener_PNG24.png
1531.4609375		blank_white_screen	705	3136432	
